id,host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_listings_count,neighbourhood_cleansed,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
7150515,2755315,Chito,6/26/12,1,1,5,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.84693412,-76.99929432,House,Private room,1,1,1,1,0,55,195,595,150,75,1,25,1,1125,30,60,90,364,0,,,0,0,0,0,0,0,0,0
7132107,2755315,Chito,6/26/12,1,1,5,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.84724289,-76.99915559,House,Private room,3,1,1,2,0,55,295,650,150,75,1,15,1,1125,27,57,87,362,5,8/10/15,9/12/15,84,10,8,10,9,6,8,2.73
813573,4275311,Danielle,11/28/12,0,0,1,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.82805248,-77.01045127,Apartment,Entire home/apt,2,1,1,1,360,400,0,0,200,0,1,0,2,4,30,60,90,365,0,,,0,0,0,0,0,0,0,0
8473096,2755315,Chito,6/26/12,1,1,5,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.84824335,-76.99924952,House,Private room,1,1,1,1,0,35,165,595,0,25,1,0,1,1125,25,55,85,360,0,,,0,0,0,0,0,0,0,0
2117627,1299708,Wade,10/16/11,0,0,1,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.82722274,-77.00919578,House,Entire home/apt,4,2,2,2,0,160,0,0,200,30,1,0,2,8,0,0,0,0,5,3/17/15,6/19/15,96,10,9,10,10,8,10,0.75
7254795,37984671,Nardyne,7/9/15,1,1,2,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.82871929,-77.00783414,Townhouse,Entire home/apt,4,2.5,2,2,0,130,800,2800,300,60,1,10,2,1125,11,41,71,346,1,7/30/15,7/30/15,100,10,10,10,10,6,10,0.45
8567059,12745759,Donnice,3/3/14,1,1,1,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.82636204,-76.99786671,Townhouse,Private room,1,1,1,1,0,50,225,700,0,0,1,0,1,1125,20,43,54,194,0,,,0,0,0,0,0,0,0,0
5912004,30275290,Darryl,3/30/15,0.5,0,1,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.83454145,-77.00560653,House,Private room,2,1,1,1,0,150,600,1500,0,0,1,0,1,1125,30,60,90,365,0,,,0,0,0,0,0,0,0,0
2940776,10855700,Nathan,12/27/13,0.8,0.67,1,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.84306384,-76.99158707,House,Private room,2,1.5,1,1,0,40,230,0,0,0,1,0,1,1125,0,0,0,267,9,5/13/14,9/17/15,84,8,8,8,9,8,9,0.53
8519673,2755315,Chito,6/26/12,1,1,5,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.8468335,-76.99945653,House,Private room,2,1,1,1,0,45,195,495,0,0,1,0,1,1125,26,56,86,354,0,,,0,0,0,0,0,0,0,0
8552222,37984671,Nardyne,7/9/15,1,1,2,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.82775661,-77.0083268,Townhouse,Private room,2,2.5,1,1,0,55,256,903,300,25,1,10,2,1125,10,40,70,345,0,,,0,0,0,0,0,0,0,0
4694155,24266762,Saud,11/28/14,0,0,1,"Congress Heights, Bellevue, Washington Highlands",DC,20032,38.82506052,-76.9987406,Apartment,Entire home/apt,2,1,1,1,0,200,0,0,0,0,1,0,1,1125,30,60,90,365,1,1/1/15,1/1/15,100,10,10,10,10,10,10,0.11
4286181,3517743,Kanita,9/9/12,1,0.88,2,"Douglas, Shipley Terrace",DC,20020,38.85081344,-76.98011142,House,Private room,2,1,1,1,0,65,350,900,0,0,1,15,1,1125,3,3,21,296,4,4/19/15,8/18/15,100,10,10,10,10,10,10,0.71
2523708,7042945,RoDeece,6/21/13,1,1,4,"Douglas, Shipley Terrace",DC,20032,38.84081712,-76.97797504,House,Private room,4,1.5,1,1,0,94,559,1869,95,15,1,8,1,31,26,56,86,361,18,4/7/14,8/22/15,98,10,10,10,10,9,10,0.99
861775,3517743,Kanita,9/9/12,1,0.88,2,"Douglas, Shipley Terrace",DC,20020,38.84872746,-76.97871483,House,Private room,1,1,1,1,0,65,350,900,0,0,1,15,1,1125,1,31,61,336,2,3/23/15,8/11/15,90,8,9,9,10,8,10,0.31
2517969,7042945,RoDeece,6/21/13,1,1,4,"Douglas, Shipley Terrace",DC,20032,38.8421504,-76.97633323,House,Private room,5,1.5,1,1,0,64,379,1129,95,15,1,8,1,90,1,31,61,336,115,3/17/14,9/21/15,94,10,10,10,10,9,9,6.1
7368860,35672131,Lee,6/12/15,1,1,1,"Douglas, Shipley Terrace",DC,20020,38.84981227,-76.98289296,Townhouse,Private room,2,1,1,1,0,59,375,1239,0,0,1,25,1,1125,19,48,78,353,18,8/7/15,9/22/15,98,10,10,10,10,9,10,9.31
403647,1967019,Lexus,3/19/12,0,0,1,"Douglas, Shipley Terrace",DC,20020,38.84921846,-76.97884192,House,Private room,1,0,1,0,0,125,0,0,0,0,1,0,1,1125,30,60,90,365,0,,,0,0,0,0,0,0,0,0
1875603,7042945,RoDeece,6/21/13,1,1,4,"Douglas, Shipley Terrace",DC,20032,38.8422292,-76.97641703,House,Private room,3,1.5,1,1,0,74,439,1309,95,15,1,8,1,90,1,31,61,336,33,12/4/13,8/31/15,96,10,10,10,10,9,10,1.48
6133697,31818247,Nell ( & Noel),4/23/15,1,1,2,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",DC,20020,38.85328293,-76.96826673,House,Private room,3,1,1,1,0,69,0,0,0,10,2,0,1,1125,22,48,78,353,8,7/7/15,8/2/15,98,10,10,10,10,9,10,2.7
8523150,2755315,Chito,6/26/12,1,1,5,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",DC,20020,38.8576089,-76.97440904,House,Private room,1,1,1,1,0,49,185,575,0,35,1,0,1,1125,21,51,81,356,1,9/24/15,9/24/15,100,10,10,10,10,10,10,1
8172001,43128240,Brandon,9/1/15,0,0,1,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",DC,20020,38.85908304,-76.9694999,Apartment,Private room,2,1,1,1,0,60,350,1200,100,0,2,0,1,365,30,59,89,364,0,,,0,0,0,0,0,0,0,0
7582828,31818247,Nell ( & Noel),4/23/15,1,1,2,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",DC,20020,38.85137656,-76.97083697,House,Private room,2,1,1,1,0,69,0,0,0,10,1,0,1,1125,13,43,73,348,19,8/5/15,9/29/15,98,9,10,10,10,9,10,9.5
5375538,27799880,Jennifer,2/15/15,1,1,1,"Near Southeast, Navy Yard",DC,20003,38.87721086,-77.00368744,Apartment,Entire home/apt,4,1,1,2,0,157,934,3297,0,65,2,10,2,1125,10,35,65,324,3,8/13/15,9/5/15,100,10,10,10,10,10,10,1.73
