id,host_id,host_response_rate,host_acceptance_rate,host_listings_count,zipcode,latitude,longitude,accommodates,bathrooms,bedrooms,beds,square_feet,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,price
7577929,18109828,0.6,0.8,2,20009,38.92261465,-77.03566746,2,1,0,1,0,0,0,1,0,1,1125,0,30,60,335,0,0,0,0,0,0,0,0,0,105
5812279,4913838,0,0,1,20010,38.93209245,-77.03508861,4,1,1,2,0,200,50,1,0,1,1125,0,29,59,149,9,96,10,10,10,10,10,10,1.48,125
1212755,4561770,1,0.5,1,20009,38.92510476,-77.03373342,6,2,2,2,0,0,0,4,10,2,1125,0,3,9,133,5,92,10,8,10,10,9,9,0.19,200
7482982,33750865,1,1,1,20009,38.92662873,-77.03483195,2,1,1,1,0,200,50,2,25,3,1125,12,12,12,12,6,100,10,10,9,10,9,9,2.9,100
879378,2881676,1,0.75,3,20001,38.92631873,-77.02320894,2,1,1,1,0,200,50,0,0,4,14,30,60,90,365,3,90,9,9,10,10,8,9,0.09,119
1484223,2639916,1,0.6,3,20010,38.92976164,-77.02463801,4,2.5,3,3,0,300,80,4,15,3,80,12,42,72,347,8,94,10,10,10,10,8,9,0.33,220
3744387,13711278,1,0.83,2,20010,38.93290246,-77.04385719,2,1,1,1,0,0,0,1,0,2,1125,1,1,1,245,8,100,10,10,10,10,10,10,1.88,75
3760789,18715163,1,1,5,20001,38.92378173,-77.02278269,2,1.5,1,2,0,150,20,2,0,2,14,27,57,87,362,1,100,10,10,10,10,10,10,0.08,160
8882,27696,1,0.94,5,20010,38.93091946,-77.04033198,2,2.5,1,1,0,0,0,2,0,2,730,1,31,57,332,206,92,9,9,9,9,9,9,2.78,118
5767914,17055503,0.3,0,1,20010,38.93282188,-77.0254111,4,1,2,2,0,0,50,1,0,3,180,30,60,90,365,1,0,0,0,0,0,0,0,0.18,108
5782319,19191089,1,1,1,20010,38.93254969,-77.03072725,1,1,1,1,0,0,0,1,25,1,1125,0,0,25,300,2,100,10,9,10,10,10,10,0.91,75
7513481,39362045,1,0.33,1,20010,38.93479455,-77.02504739,2,1,1,1,0,0,25,1,0,1,1125,0,0,0,272,1,100,10,10,10,10,10,10,0.77,59
4967318,25607037,1,0,1,20001,38.9281182,-77.0263787,2,1,1,1,0,0,20,1,0,1,1125,0,0,25,300,25,97,10,10,10,10,9,9,3.11,82
5007164,18715163,1,1,5,20001,38.92541342,-77.02357958,4,1.5,1,1,0,200,0,1,0,1,1,28,58,88,363,0,0,0,0,0,0,0,0,0,550
3802539,19536243,1,0,1,20009,38.9209853,-77.03409116,3,1,1,2,0,150,100,1,0,1,1125,8,29,50,325,8,98,10,10,10,10,10,10,1.01,120
722397,3710858,1,1,1,20009,38.92762019,-77.03913686,4,1,1,2,0,0,0,3,15,3,20,3,3,3,3,15,91,9,8,9,10,9,10,0.5,110
8340985,10620467,0.76,0.96,1,20010,38.93209425,-77.03467491,8,2.5,5,5,0,200,80,0,0,1,1125,20,40,40,313,2,100,10,10,9,9,10,10,2,300
7562798,1710106,1,0.75,1,20010,38.93068799,-77.02030134,4,1,0,2,0,250,25,2,25,1,7,0,0,0,41,1,100,10,10,10,10,6,10,0.58,85
6391427,10376346,0,0,2,20009,38.92539217,-77.03581118,8,1.5,3,3,0,200,0,1,0,1,1125,0,0,0,115,0,0,0,0,0,0,0,0,0,279
5834313,5359868,1,1,1,20010,38.92988766,-77.03137542,2,1,1,1,0,0,20,2,10,3,1125,6,6,6,96,1,100,10,10,10,10,10,10,0.39,180
1549929,25188,0.58,0.51,480,20009,38.92150583,-77.03189584,4,2,2,2,0,0,200,1,0,7,365,29,59,89,89,1,100,10,8,10,10,10,8,0.24,279
2500661,12798936,0.8,0.83,1,20010,38.93345355,-77.03302874,2,1,1,1,0,95,0,0,0,2,1125,0,30,60,60,8,85,9,8,9,10,9,9,2.33,65
4490898,23295575,1,0.91,2,20010,38.93244112,-77.02110583,6,2,3,5,0,300,130,6,35,2,365,0,0,13,129,7,91,10,9,10,10,9,9,1.12,190
837236,4375212,0.86,1,1,20009,38.92451085,-77.03468114,7,1,2,3,0,105,80,3,70,3,150,15,45,75,350,48,93,9,9,9,9,9,9,1.46,181
891852,116599,1,0.82,5,20010,38.9357415,-77.02093724,5,1,1,2,0,200,0,2,35,2,365,21,51,81,356,24,85,9,9,10,10,8,8,0.83,125
4744922,24490495,1,1,1,20010,38.93569108,-77.03334946,2,1,0,1,0,150,40,2,25,3,6,0,0,0,98,10,96,10,9,9,10,8,9,1.09,93
1525484,161516,0.5,0,1,20010,38.93428821,-77.03802737,1,1,1,1,0,0,0,1,0,1,3,30,60,90,365,2,60,8,6,9,9,6,7,0.43,100
26409,27696,1,0.94,5,20010,38.9316999,-77.04131519,2,2.5,1,1,0,0,0,2,0,2,730,15,45,72,347,175,91,9,9,10,9,9,9,2.66,99
2336594,6177086,0.8,0.55,5,20010,38.93422388,-77.02851341,2,1,1,1,0,0,0,1,0,1,1125,30,60,90,365,0,0,0,0,0,0,0,0,0,120
1047873,794435,1,1,1,20009,38.92373689,-77.03130077,2,1,1,1,0,0,50,1,0,2,1125,2,5,9,99,20,96,10,9,10,10,9,10,0.77,109
6485666,7959692,1,0.86,1,20010,38.93043796,-77.0362247,3,1,1,2,0,0,0,1,0,2,12,0,0,0,0,8,85,9,8,10,10,10,8,1.8,100
5933022,30806107,1,1,2,20009,38.92572429,-77.02889489,2,1,1,1,0,0,10,1,0,1,1125,15,45,75,350,6,100,10,10,10,10,10,10,1.29,100
6391780,10376346,0,0,2,20009,38.9233955,-77.03631435,2,1.5,1,1,0,0,0,1,0,1,1125,0,0,0,115,0,0,0,0,0,0,0,0,0,99
6850540,6001439,1,0,1,20009,38.92783202,-77.03924951,4,1,1,1,0,0,0,1,0,2,18,0,0,0,83,3,100,10,10,10,10,10,10,1.01,140
1036591,4365896,0.6,0.89,2,20010,38.93031672,-77.02409846,6,2.5,2,2,0,200,100,4,10,2,10,0,6,16,32,18,95,10,10,10,10,9,9,0.6,154
3993910,19230944,0.9,0.44,2,20010,38.92748498,-77.03457509,2,1,1,1,0,0,50,1,0,1,1125,0,0,0,0,2,100,10,9,10,10,10,10,1.05,70
2593088,13275854,1,0.95,5,20010,38.93081903,-77.03847234,4,1,1,1,0,500,45,2,25,2,1125,14,44,74,349,24,96,10,10,10,10,10,10,1.37,98
6729482,19197502,1,1,1,20010,38.93603588,-77.03654654,3,1,1,1,0,0,10,1,15,1,1125,19,48,78,353,11,89,9,8,9,10,9,9,2.97,90
3651870,15644817,0,0,1,20009,38.92010362,-77.03274118,2,1,1,1,0,0,30,1,0,3,1125,2,32,62,62,18,94,10,9,10,10,10,9,1.24,100
4468742,9926776,1,0.8,2,20009,38.92882945,-77.03732349,2,1,1,1,0,200,25,1,0,2,4,0,0,0,275,4,95,10,10,10,10,10,10,0.37,60
5525529,12302147,1,0.79,1,20010,38.93765113,-77.03671028,3,1,1,1,0,0,0,1,0,1,1125,6,19,45,320,6,100,10,10,10,10,10,10,2,130
4427831,1844675,0.63,1,1,20009,38.92216751,-77.03603052,2,1,0,1,0,150,60,2,0,1,2000,21,51,81,356,8,88,9,9,9,8,10,9,0.75,105
8499319,44752542,0,0,1,20001,38.92355993,-77.02433822,6,2,3,3,0,0,0,1,0,1,1125,26,56,86,361,0,0,0,0,0,0,0,0,0,600
782970,3300249,0,0,1,20010,38.93432149,-77.04179772,3,1,1,1,0,0,30,1,0,2,1125,0,0,0,275,1,100,10,10,10,10,10,10,0.06,250
8385169,1267048,1,1,1,20009,38.92782569,-77.04223018,2,1,1,1,0,0,0,1,20,1,1125,23,53,83,358,0,0,0,0,0,0,0,0,0,75
